Title,Category,Label
ring_00623,Baby Monitoring,Normal
ring_00626,Security,Normal
ring_00628,Security,Normal
ring_00630,Security,Normal
ring_00631,Wildlife,Abnormal
ring_00633,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00635,Security,Abnormal
ring_00636,Wildlife,Abnormal
ring_00637,Security,Abnormal
ring_00644,Pet Monitoring,Normal
ring_00645,Security,Vague Abnormal
ring_00646,Wildlife,Abnormal
ring_00647,Security,Abnormal
ring_00651,Wildlife,Vague Abnormal
ring_00652,Security,Abnormal
ring_00653,Security,Normal
ring_00654,Security,Normal
ring_00655,Security,Normal
ring_00656,Wildlife,Normal
ring_00660,Security,Normal
ring_00661,Pet Monitoring,Normal
ring_00662,Security,Abnormal
ring_00663,Pet Monitoring,Normal
ring_00664,Security,Normal
ring_00665,Security,Normal
ring_00666,Security,Normal
ring_00667,Pet Monitoring,Abnormal
ring_00669,Kid Monitoring,Normal
ring_00670,Pet Monitoring,Normal
ring_00672,Security,Vague Abnormal
ring_00673,Security,Normal
ring_00674,Pet Monitoring,Normal
ring_00675,Wildlife,Abnormal
ring_00676,Security,Normal
ring_00678,Security,Normal
ring_00679,Security,Normal
ring_00680,Pet Monitoring,Normal
ring_00681,Pet Monitoring,Normal
ring_00683,Security,Abnormal
ring_00684,Security,Normal
ring_00687,Security,Normal
ring_00689,Security,Abnormal
ring_00690,"{""choices"":[""Security"",""Pet Monitoring""]}",Normal
ring_00693,Security,Normal
ring_00697,Security,Abnormal
ring_00698,Security,Normal
ring_00700,Security,Normal
ring_00703,Security,Normal
ring_00705,Security,Normal
ring_00706,Pet Monitoring,Normal
ring_00710,Security,Vague Abnormal
ring_00711,Security,Normal
ring_00714,Wildlife,Abnormal
ring_00724,Pet Monitoring,Normal
ring_00726,Wildlife,Abnormal
ring_00728,Security,Normal
ring_00729,Pet Monitoring,Normal
ring_00730,Security,Normal
ring_00731,Security,Normal
ring_00732,Security,Normal
ring_00733,Security,Normal
ring_00734,Security,Normal
ring_00735,Security,Normal
ring_00739,Security,Normal
ring_00740,Security,Abnormal
ring_00743,Pet Monitoring,Normal
ring_00744,Security,Vague Abnormal
ring_00750,Security,Normal
ring_00751,Security,Abnormal
ring_00752,Security,Normal
ring_00753,Wildlife,Abnormal
ring_00755,Security,Abnormal
ring_00757,Wildlife,Abnormal
ring_00758,Security,Vague Abnormal
ring_00759,Kid Monitoring,Normal
ring_00762,Security,Abnormal
ring_00763,Security,Normal
ring_00767,Security,Abnormal
ring_00769,Pet Monitoring,Normal
ring_00770,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00772,Security,Abnormal
ring_00773,Security,Normal
ring_00775,Security,Vague Abnormal
ring_00777,Security,Vague Abnormal
ring_00778,Wildlife,Abnormal
ring_00780,Security,Vague Abnormal
ring_00782,Wildlife,Abnormal
ring_00784,Security,Abnormal
ring_00785,Security,Abnormal
ring_00787,Wildlife,Abnormal
ring_00788,Kid Monitoring,Normal
ring_00789,Security,Abnormal
ring_00791,Security,Vague Abnormal
ring_00793,Security,Vague Abnormal
ring_00796,"{""choices"":[""Security"",""Kid Monitoring""]}",Normal
ring_00798,Wildlife,Abnormal
ring_00799,Wildlife,Abnormal
ring_00800,Security,Abnormal
ring_00802,Kid Monitoring,Normal
ring_00808,Kid Monitoring,Abnormal
ring_00811,Kid Monitoring,Normal
ring_00814,Wildlife,Abnormal
ring_00815,Security,Abnormal
ring_00816,Baby Monitoring,Normal
ring_00817,Wildlife,Abnormal
ring_00819,Security,Normal
ring_00820,Security,Normal
ring_00822,Wildlife,Abnormal
ring_00823,Pet Monitoring,Normal
ring_00826,Security,Abnormal
ring_00828,Pet Monitoring,Abnormal
ring_00834,Security,Normal
ring_00835,Pet Monitoring,Abnormal
ring_00836,Security,Abnormal
ring_00838,Security,Abnormal
ring_00840,Security,Abnormal
ring_00841,Security,Normal
ring_00843,Pet Monitoring,Normal
ring_00845,Wildlife,Abnormal
ring_00847,Kid Monitoring,Normal
ring_00848,Wildlife,Normal
ring_00851,Other Category,Normal
ring_00852,Security,Abnormal
ring_00853,Wildlife,Abnormal
ring_00854,Security,Normal
ring_00855,Pet Monitoring,Normal
ring_00865,Wildlife,Abnormal
ring_00866,Pet Monitoring,Normal
ring_00869,Security,Abnormal
ring_00874,Security,Abnormal
ring_00876,Wildlife,Abnormal
ring_00879,Security,Abnormal
ring_00881,Kid Monitoring,Vague Abnormal
ring_00883,Wildlife,Abnormal
ring_00884,Security,Abnormal
ring_00892,Wildlife,Abnormal
ring_00893,Security,Abnormal
ring_00895,Wildlife,Abnormal
ring_00899,Security,Abnormal
ring_00907,Security,Normal
ring_00911,Wildlife,Abnormal
ring_00913,Security,Vague Abnormal
ring_00916,Wildlife,Abnormal
ring_00917,Security,Normal
ring_00918,Wildlife,Abnormal
ring_00919,Security,Abnormal
ring_00920,Kid Monitoring,Normal
ring_00921,Wildlife,Abnormal
ring_00925,Other Category,Vague Abnormal
ring_00926,Wildlife,Abnormal
ring_00928,Security,Normal
ring_00929,Security,Abnormal
ring_00930,Pet Monitoring,Abnormal
ring_00931,Wildlife,Abnormal
ring_00940,Security,Abnormal
ring_00942,Pet Monitoring,Abnormal
ring_00943,Security,Vague Abnormal
ring_00945,Security,Abnormal
ring_00948,Kid Monitoring,Abnormal
ring_00949,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00951,Security,Normal
ring_00953,Security,Abnormal
ring_00960,Wildlife,Abnormal
ring_00964,Wildlife,Abnormal
ring_00965,Security,Normal
ring_00969,Security,Abnormal
ring_00979,Security,Vague Abnormal
ring_00980,Security,Abnormal
ring_00987,Security,Abnormal
ring_00989,Security,Normal
ring_00991,Security,Abnormal
ring_00995,Wildlife,Abnormal
ring_00998,Security,Abnormal
ring_01000,Pet Monitoring,Abnormal
ring_01002,Wildlife,Abnormal
ring_01003,Pet Monitoring,Abnormal
ring_01004,Pet Monitoring,Normal
ring_01008,Security,Abnormal
ring_01017,Wildlife,Abnormal
ring_01019,Security,Normal
ring_01022,Security,Abnormal
ring_01026,Wildlife,Abnormal
ring_01027,Wildlife,Abnormal
ring_01029,Wildlife,Abnormal
ring_01030,Pet Monitoring,Abnormal
ring_01032,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_01033,Wildlife,Abnormal
ring_01035,Security,Normal
ring_01037,Security,Normal
ring_01042,Kid Monitoring,Normal
ring_01043,Security,Abnormal
ring_01050,Security,Normal
ring_01052,Security,Abnormal
ring_01053,Security,Abnormal
ring_01054,Wildlife,Abnormal
ring_01069,Security,Abnormal
ring_01080,Wildlife,Abnormal
ring_01091,Pet Monitoring,Abnormal
ring_01093,Pet Monitoring,Abnormal
ring_01095,Wildlife,Abnormal
ring_01097,Security,Abnormal
ring_01101,Security,Normal
ring_01105,Wildlife,Abnormal
ring_01106,Security,Abnormal
ring_01119,Wildlife,Abnormal
ring_01120,Kid Monitoring,Normal
ring_01124,Security,Normal
ring_01147,Security,Normal
ring_01169,Security,Abnormal
ring_01171,Pet Monitoring,Abnormal
ring_01175,Wildlife,Abnormal
ring_01176,Wildlife,Abnormal
ring_01252,Pet Monitoring,Normal
ring_01254,Security,Normal
ring_01255,Baby Monitoring,Normal
ring_01256,Security,Normal
ring_01260,Wildlife,Abnormal
ring_01266,Pet Monitoring,Normal
ring_01267,Security,Normal
ring_01268,Kid Monitoring,Normal
ring_01269,Security,Normal
ring_01270,Baby Monitoring,Normal
ring_01295,Pet Monitoring,Abnormal
ring_01298,Security,Abnormal
ring_01309,Pet Monitoring,Normal
ring_01313,Security,Normal
ring_01314,Wildlife,Abnormal
ring_01317,Pet Monitoring,Abnormal
ring_01323,Wildlife,Abnormal
ring_01324,Wildlife,Abnormal
ring_01334,Wildlife,Abnormal
ring_01335,Kid Monitoring,Normal
ring_01337,Wildlife,Abnormal
ring_01338,Security,Normal
ring_01341,Wildlife,Abnormal
ring_01344,Security,Normal
ring_01351,Wildlife,Abnormal
ring_01355,Pet Monitoring,Abnormal
ring_01360,Pet Monitoring,Abnormal
ring_01361,Security,Abnormal
ring_01366,Pet Monitoring,Normal
ring_01368,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_01369,Wildlife,Abnormal
ring_01371,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_01373,Wildlife,Abnormal
ring_01374,Security,Abnormal
ring_01377,Wildlife,Abnormal
ring_01379,Security,Normal
ring_01380,Wildlife,Abnormal
ring_01383,Security,Vague Abnormal
ring_01385,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_01393,Security,Vague Abnormal
ring_01398,Wildlife,Abnormal
ring_01401,Wildlife,Abnormal
ring_01405,Wildlife,Abnormal
ring_01406,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_01413,Pet Monitoring,Abnormal
ring_01417,Wildlife,Abnormal
ring_01425,Wildlife,Abnormal
ring_01430,"{""choices"":[""Security"",""Kid Monitoring""]}",Abnormal
ring_01432,Wildlife,Abnormal
ring_01439,Wildlife,Abnormal
ring_01440,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_01443,Wildlife,Abnormal
ring_01446,Pet Monitoring,Abnormal
ring_01449,Pet Monitoring,Abnormal
ring_01451,Wildlife,Abnormal
ring_01452,"{""choices"":[""Security"",""Pet Monitoring""]}",Abnormal
ring_01461,Wildlife,Abnormal
ring_01467,Wildlife,Abnormal
ring_01468,Pet Monitoring,Abnormal
ring_01476,Security,Normal
ring_01479,Pet Monitoring,Abnormal
ring_01487,Security,Normal
ring_00005,Wildlife,Abnormal
ring_00008,Pet Monitoring,Abnormal
ring_00010,Wildlife,Abnormal
ring_00011,Security,Abnormal
ring_00015,"{""choices"":[""Security"",""Pet Monitoring""]}",Abnormal
ring_00016,Security,Abnormal
ring_00017,Security,Normal
ring_00020,Wildlife,Abnormal
ring_00023,Security,Vague Abnormal
ring_00028,Kid Monitoring,Normal
ring_00029,Kid Monitoring,Abnormal
ring_00035,Security,Normal
ring_00038,Wildlife,Abnormal
ring_00039,Pet Monitoring,Abnormal
ring_00050,Wildlife,Vague Abnormal
ring_00052,Pet Monitoring,Abnormal
ring_00053,Wildlife,Abnormal
ring_00055,Security,Normal
ring_00060,Wildlife,Abnormal
ring_00062,Pet Monitoring,Normal
ring_00063,Pet Monitoring,Normal
ring_00071,Baby Monitoring,Normal
ring_00073,Security,Abnormal
ring_00075,Wildlife,Abnormal
ring_00081,Pet Monitoring,Normal
ring_00089,Pet Monitoring,Abnormal
ring_00092,Security,Normal
ring_00096,Wildlife,Normal
ring_00097,Kid Monitoring,Vague Abnormal
ring_00101,Wildlife,Abnormal
ring_00102,Wildlife,Abnormal
ring_00105,Security,Vague Abnormal
ring_00108,Security,Abnormal
ring_00109,"{""choices"":[""Security"",""Kid Monitoring""]}",Normal
ring_00112,Security,Normal
ring_00114,Wildlife,Abnormal
ring_00117,Security,Abnormal
ring_00122,Baby Monitoring,Normal
ring_00123,Wildlife,Abnormal
ring_00127,Wildlife,Abnormal
ring_00128,Security,Abnormal
ring_00131,Wildlife,Abnormal
ring_00132,Wildlife,Vague Abnormal
ring_00133,Kid Monitoring,Normal
ring_00134,Pet Monitoring,Normal
ring_00140,Wildlife,Abnormal
ring_00141,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_00142,Security,Abnormal
ring_00144,Wildlife,Abnormal
ring_00145,Pet Monitoring,Normal
ring_00155,Pet Monitoring,Normal
ring_00156,"{""choices"":[""Security"",""Wildlife""]}",Normal
ring_00164,Security,Normal
ring_00167,Security,Abnormal
ring_00169,Wildlife,Abnormal
ring_00171,Pet Monitoring,Normal
ring_00176,Pet Monitoring,Vague Abnormal
ring_00177,Wildlife,Abnormal
ring_00179,Wildlife,Abnormal
ring_00185,Pet Monitoring,Normal
ring_00188,Kid Monitoring,Normal
ring_00191,Wildlife,Abnormal
ring_00193,Security,Abnormal
ring_00195,Pet Monitoring,Abnormal
ring_00198,Kid Monitoring,Normal
ring_00201,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_00206,Pet Monitoring,Normal
ring_00212,Pet Monitoring,Normal
ring_00214,Pet Monitoring,Normal
ring_00222,Wildlife,Normal
ring_00228,Pet Monitoring,Abnormal
ring_00229,Security,Normal
ring_00230,Wildlife,Abnormal
ring_00234,Wildlife,Abnormal
ring_00238,Security,Vague Abnormal
ring_00243,Wildlife,Abnormal
ring_00247,Security,Abnormal
ring_00252,Other Category,Normal
ring_00253,Pet Monitoring,Vague Abnormal
ring_00269,Security,Abnormal
ring_00273,Wildlife,Abnormal
ring_00276,Security,Abnormal
ring_00278,Wildlife,Normal
ring_00283,Wildlife,Abnormal
ring_00284,Security,Abnormal
ring_00286,Wildlife,Abnormal
ring_00289,Baby Monitoring,Normal
ring_00292,Pet Monitoring,Abnormal
ring_00293,Security,Vague Abnormal
ring_00295,Security,Abnormal
ring_00298,Wildlife,Abnormal
ring_00302,Wildlife,Abnormal
ring_00303,Pet Monitoring,Normal
ring_00305,Security,Abnormal
ring_00306,Kid Monitoring,Vague Abnormal
ring_00307,Pet Monitoring,Vague Abnormal
ring_00308,Security,Abnormal
ring_00318,Wildlife,Abnormal
ring_00330,Security,Normal
ring_00331,Kid Monitoring,Normal
ring_00332,Pet Monitoring,Normal
ring_00337,Pet Monitoring,Normal
ring_00339,Security,Normal
ring_00342,Security,Abnormal
ring_00345,Security,Abnormal
ring_00347,Pet Monitoring,Abnormal
ring_00350,Security,Normal
ring_00351,Baby Monitoring,Normal
ring_00353,Security,Normal
ring_00354,Wildlife,Abnormal
ring_00357,Pet Monitoring,Normal
ring_00359,Wildlife,Vague Abnormal
ring_00361,Pet Monitoring,Abnormal
ring_00362,Wildlife,Abnormal
ring_00367,Wildlife,Abnormal
ring_00372,"{""choices"":[""Security"",""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_00374,Wildlife,Abnormal
ring_00387,Pet Monitoring,Abnormal
ring_00394,Kid Monitoring,Normal
ring_00398,Wildlife,Abnormal
ring_00400,Wildlife,Abnormal
ring_00409,Wildlife,Abnormal
ring_00411,Wildlife,Abnormal
ring_00415,Wildlife,Abnormal
ring_00416,Wildlife,Abnormal
ring_00417,Pet Monitoring,Normal
ring_00418,Wildlife,Abnormal
ring_00420,Wildlife,Abnormal
ring_00421,Security,Normal
ring_00424,Kid Monitoring,Normal
ring_00426,Pet Monitoring,Normal
ring_00427,Security,Normal
ring_00428,Wildlife,Normal
ring_00433,Pet Monitoring,Normal
ring_00436,Wildlife,Abnormal
ring_00450,Wildlife,Abnormal
ring_00452,Security,Abnormal
ring_00457,Wildlife,Abnormal
ring_00464,Security,Abnormal
ring_00467,Wildlife,Abnormal
ring_00468,Wildlife,Abnormal
ring_00472,Wildlife,Abnormal
ring_00475,Kid Monitoring,Normal
ring_00478,Wildlife,Abnormal
ring_00479,Wildlife,Abnormal
ring_00486,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00488,Wildlife,Abnormal
ring_00489,Security,Normal
ring_00491,Wildlife,Vague Abnormal
ring_00498,Wildlife,Abnormal
ring_00501,Security,Normal
ring_00502,Wildlife,Abnormal
ring_00503,Security,Normal
ring_00506,Security,Vague Abnormal
ring_00507,Kid Monitoring,Normal
ring_00508,Wildlife,Abnormal
ring_00510,Security,Abnormal
ring_00513,Security,Normal
ring_00514,Pet Monitoring,Normal
ring_00517,Security,Vague Abnormal
